Threshold,Features,Linear_recall_score,Linear_f1_score,Knn_recall_score,Knn_f1_score,Logistic_recall_score,Logistic_f1_score
0.1,1,1.0,0.6666633022934375,0.0,0.0,1.0,0.6666633022934375
0.1,2,0.988427308042283,0.6997080997985229,0.0,0.0,1.0,0.6666633022934375
0.1,3,0.9934940136045328,0.693496028351765,0.07770117358042726,0.1408673549527649,0.9965761294073022,0.6843643381127423
0.1,4,0.9935481446253583,0.6948240357119085,0.14705409420744517,0.24532878904005972,0.9954450622963776,0.6900266524181552
0.1,5,0.9939756495040087,0.7051177958166829,0.6594041849685777,0.6563991550938236,0.9936642512889463,0.7066700067083884
0.1,6,0.994117390076284,0.704906959716245,0.7659536993958019,0.7061494953435842,0.9938333630267002,0.7063358663911785
0.1,7,0.9943142255373414,0.7054079573284527,0.9388014535938529,0.7421776765928323,0.9938900956305825,0.7067248350117185
0.1,8,0.9941444399524438,0.705804607855168,0.9521918014572567,0.7409705825154016,0.9937769801125557,0.7073055376488977
0.1,9,0.9943146122317588,0.7051322883114549,0.9528108674895787,0.741323006399104,0.9939746202309537,0.7067209861005427
0.1,10,0.9943990714270314,0.7054469276364289,0.9579344677344137,0.7371857801184022,0.9940311310872083,0.7068673304502083
0.1,11,0.994512059002948,0.7055128665093027,0.9590101413314825,0.7367291521275154,0.994059562794248,0.7068873286917409
0.1,12,0.9945688257434231,0.705404506778779,0.9592639368802236,0.7373169456934684,0.9940597874099626,0.7068376374552715
0.1,13,0.9946813640879105,0.7063349709938821,0.9594053248946741,0.7393474039437549,0.9937480053685693,0.7088479120313238
0.1,14,0.9947660478988979,0.7064947534595859,0.9594602947094328,0.739923672761492,0.9937762124598946,0.7094697089687543
0.1,15,0.994681619972131,0.7064629210332055,0.9605619008402625,0.7391115744695584,0.9938328825267653,0.7094670886491498
0.1,16,0.9947097303898519,0.7064970320113216,0.9614708425350065,0.7386296120583736,0.9937763404020048,0.7095985640386768
0.1,17,0.9947097303898519,0.7066248409373185,0.9620012072058118,0.7377629226060344,0.9937480053685693,0.7096213596440263
0.1,18,0.9946813953564165,0.7064556525692757,0.9627366102536099,0.7361475923541455,0.9937762437284005,0.7098422864689967
0.1,19,0.994823232602296,0.7074452828417378,0.9645729143165881,0.73604043586883,0.9938330758739741,0.711183546383071
0.1,20,0.994823232602296,0.7073954126661285,0.963981509470558,0.7350485562292476,0.9938330758739741,0.7112195188462519
0.1,21,0.9949363481203228,0.7074119347551928,0.9644905790725243,0.7350956194715649,0.9938329792003696,0.7112338544362121
0.1,22,0.9949363481203228,0.7074119347551928,0.9644905790725243,0.7350956194715649,0.9938329792003696,0.7112338544362121
0.11,1,1.0,0.6666633022934375,0.0,0.0,1.0,0.6666633022934375
0.11,2,0.988427308042283,0.6997080997985229,0.0,0.0,0.9964297857871472,0.6779196914085284
0.11,3,0.9925317739467229,0.6952891135870866,0.07770117358042726,0.1408673549527649,0.9947104355055013,0.6893076822795129
0.11,4,0.9929539419809758,0.696015257701085,0.14705409420744517,0.24532878904005972,0.9940012521441902,0.6943647962075153
0.11,5,0.993352531784565,0.7078654786552493,0.6594041849685777,0.6563991550938236,0.9921357231891791,0.7117408224025873
0.11,6,0.9934374089427607,0.7075980410830297,0.7659536993958019,0.7061494953435842,0.9922203757316604,0.7115200501114239
0.11,7,0.9934652606081743,0.7081032103700982,0.9388014535938529,0.7421776765928323,0.9919091367272138,0.7117806362577531
0.11,8,0.993380286776374,0.7083209787028214,0.9521918014572567,0.7409705825154016,0.9915987990537124,0.7120419145378719
0.11,9,0.9935222519643637,0.7080220863302641,0.9528108674895787,0.741323006399104,0.9917964391721105,0.7115911929421689
